candy,michelle,max,zekry,jonathan,mousa,blair,vishal,megan,sara,cody,karina
100 Grand,,,,,,,,,,,
3 Musketeers,,,,8,,,,,,7,
One dime,,,,,,,,,,,
One quarter,,,,,,,,,,,
Air Heads,5,4,,8,,5,5,6,5,,5
Almond Joy,2,,,,,3,,,4,,
Baby Ruth,6,,,,,,,,,,
Boston Baked Beans,,,,,,,,,,,
Candy Corn,8,1,,,8,2,4,,,,2
Caramel Apple Pops,,,,,,,,,,,
Charleston Chew,2,3,,,,,,,,6,
Chewey Lemonhead Fruit Mix,,,,,8,,,,,,
Chiclets,1,4,3,,,2,3,1,,4,1
Dots,,6,,,,,3,,,,4
Dum Dums,5,,,,,,,,,,
Fruit Chews,,,,,8,,,4,,,
Fun Dip,7,6,,,,7,5,9,,,6
Gobstopper,7,,,,,5,3,6,,3,8
Haribo Gold Bears,7,7,,4,,7,,9,,5,7
Haribo Happy Cola,9,7,9,9,,7,,7,6,,8
Haribo Sour Bears,6,8,,3,,8,,7,,,5
Haribo Twin Snakes,5,,,,,6,,,,,
Hershey's Kisses,6,2,6,7,6,7,7,9,7,,8
Hershey's Krackel,,,,,6,,,,3,,
Hershey's Milk Chocolate,7,3,6,9,6,7,8,8,7,7,6
Hershey's Special Dark,7,,8,,6,8,9,8,9,,
Jawbusters,4,,,,,,,,0,,7
Junior Mints,3,7,,,,5,,4,,,3
Kit Kat,8,6,7,9,9,7,6,10,7,,5
Laffy Taffy,6,,,,8,7,3,5,4,3,4
Lemonhead,,,,,,,,,,,
Lifesavers big ring gummies,,,,,,,5,8,4,,
Peanut butter M&M's,9,8,6,2,9,,8,9,8,9,
M&M's,8,6,7,6,9,7,8,6,7,7,2
Mike & Ike,6,6,,2,9,6,,3,,6,9
Milk Duds,5,,7,,8,6,6,2,,7,
Milky Way,,,5,3,8,6,5,,,7,
Milky Way Midnight,,,,,8,,,,,,
Milky Way Simply Caramel,7,,,,9,,,,,,
Mounds,,,,,,6,,,,,
Mr Good Bar,8,,,,,,,,,,
Nerds,6,7,,,,7,7,10,6,4,9
Nestle Butterfinger,9,,,5,7,,5,,3,,
Nestle Crunch,8,6,,,7,5,6,3,3,,
Nik L Nip,,,,,,4,,,,,
Now & Later,,,,,,,,,,,
Payday,,,,,,,,,,,
Peanut M&Ms,9,7,4,0,8,9,9,7,8,8,9
Pixie Sticks,3,,,,,4,4,,,2,4
Pop Rocks,5,7,,,,8,,6,5,2,5
Red vines,6,,,,,,,,,,6
Reese's Miniatures,7,7,,,10,,5,10,8,9,
Reese's Peanut Butter cup,8,7,3,8,10,6,7,10,9,9,8
Reese's pieces,7,,,8,10,4,8,,7,,5
Reese's stuffed with pieces,,,,,10,,5,8,,,
Ring pop,6,6,,,,10,6,,0,7,
Rolo,8,7,,6,,8,4,2,5,8,6
Root Beer Barrels,,,1,,,,,4,,,7
Runts,,,,,,,,,,,
Sixlets,,,,,,,,,,,
Skittles original,6,7,5,5,9,8,6,7,5,,8
Skittles wildberry,6,,,,9,8,,,4,,6
Nestle Smarties,6,5,6,3,,7,6,8,5,8,9
Rockets (smarties),4,6,,,8,4,,,,8,10
Snickers,8,,8,7,10,9,7,5,7,,8
Snickers Crisper,,7,,,9,,,,,9,
Sour Patch Kids,5,8,,,,9,8,8,4,,7
Sour Patch Tricksters,,,,,,9,,,4,,
Starburst,6,7,,,,9,9,6,6,8,5
Strawberry bon bons,,,,,8,,,,,,
Sugar Babies,,,,,,,,,,,
Sugar Daddy,,,,,,,,,,,
Super Bubble,,,,,,,,,,,
Swedish Fish,7,6,2,,,7,,,,6,
Tootsie Pop,4,,,5,,5,,1,0,,6
Tootsie Rolls,4,1,,,,6,0,1,0,5,4
Tootsie Roll Midgies,3,,,,,,,,,,
Tootsie Roll Snack Bars,,,,,,,,,,,
Trolli Sour Bites,,,,,,,,,,,
Twix,8,7,6,5,9,9,8,4,7,10,5
Twizzlers,7,,,,9,7,7,6,4,6,8
Warheads,4,6,,,,6,6,6,,6,4
Welch's Fruit Snacks,8,6,,8,,3,8,5,2,9,6
Werther's Original Caramel,9,3,7,5,,4,4,9,3,8,
Whoppers,7,,,,,,,9,,,
Wine gums,9,7,9,9,,7,5,8,,8,